4;12;Filmore;Here.
4;12;Mr. Garrison;Sally Bands?
4;12;Sally;Here.
4;12;Mr. Garrison;Ike Broflovski?
4;12;Ike;Cookie Monster.
4;12;Mr. Garrison;Broflovski, I had your older brother Kyle in my third-grade class. He's a very smart kid. I'm sure you are, too. [Fillmore and his friend glare at Ike] Well that's bad news for everybody else, because I will be grading you all on a curve. [Ike looks at Filmore and friend and starts to sink in his seat]
4;12;;"South Park Elementary, fourth grade room. The class is present, along with ""Bill Cosby"" Cartman elaborates on the wonderful attributes of his Trapper Keeper"
4;12;Cartman;And so the other thing that makes my Trapper Keeper cooler than Kyle's is that it can add any peripheral device to itself automatically. [Kyle glares at him with arms crossed.] I can take something as simple as this calculator [a Wellington Bear model] and... Trapper Keeper?
4;12;Trapper Keeper;[its TV screen turns on] Trapper Keeper active.
4;12;Cartman;Hybrid with Wellington Bear calculator.
4;12;Trapper Keeper;Ready for hybrid. [Two cables reach out and grab the calculator and pull it into a ready slot. Cartman closes the Trapper Keeper]
4;12;Cartman;And now it can use Wellington Bear calculator, too.
4;12;Kids;Wow.
4;12;Bill;[reaches over Cartman's shoulder] May I hold your Trapper Keeper?
4;12;Cartman;Uh, n-no, I'm afraid not, Bill Cosby, because it is coded to the prints on my fingers. [wiggles them outstretched] If anybody but me tries to hold it, big metal spikes come out and pierce through their hands.
4;12;Kyle;Oh, you are so full of crap, Cartman! Metal spikes will not come out!
4;12;Cartman;Oh really? [hands the folder over to Kyle] Then, why don't you hold it? [Kyle looks at it in Cartman's outstretched hand.] Well, go on, Kyle. If it doesn't have metal spikes, then hold it. [inches closer and whispers] Hold it.
4;12;Kyle;I'm gonna!
4;12;Cartman;[inches closer and whispers] Hold it.
4;12;Kyle;I will!
4;12;;South Park Elementary, kindergarten room. Mr. Garrison is telling his life story to the kids
4;12;Mr. Garrison;"And that's how the relationship with my father sort of ended. There's still some sort of skeletons in the closet, but things between us are a little better. [some of the kids are stunned. Garrison starts writing on the board] Okay, children, well now it's time for us to elect a class president, [writes up ""KINDERGARTEN CLASS PRESIDENT"" on the chalkboard and underlines it] so first we must pick nominees. [turns and faces the class] Who would like to nominate someone?"
4;12;Boy #2;I nominate Filmore, because he's the smartest kid in the class.
4;12;Mr. Garrison;Okay, Filmore. [writes the name on the board] You'll be our first nominee. And who else? [a girl raises her hand] Yes, Jenny.
4;12;Jenny;I gotta go doodie.
4;12;Mr. Garrison;In a minute, Jenny. Who else wants to nominate a class president? [the kids stay quiet] Oh, come on! You can't have an election with just one person running! What's the fun in that? Ike? How about you? You're a genius.
4;12;Ike;[looks at an angry Fillmore and friend] No.
4;12;Mr. Garrison;Okay, our second nominee is Ike the genius. [writes the name up on the board. Filmore and friend stare at a chagrined Ike] Okay, children, now we'll hear briefly from each nominee. Filmore, why don't you go first?
4;12;Filmore;[leaves his seat, approaches the board, and faces the class] If I'm elected class president, I'll call for big ol' chairs. And on Fridays, I'll add two minutes to nap time. Thank you. [returns to his seat]
4;12;Mr. Garrison;Very enthralling. Okay, Ike? How about you?
4;12;Ike;[leaves his seat, approaches the board, and faces the class] Cookie Monster. Ice.
4;12;Mr. Garrison;...Well, this is gonna be a tough one, kids.
4;12;;South Park Elementary, playground. The four boys stand around the tetherball pole while two kids in front of them toss a football, two girls walk by behind them, another kid climbs the jungle gym, and another rocks on a hobby elephant
4;12;Stan;Oh, no, dude, here comes that weird new kid.
4;12;Bill;Ahhh, hello Eric. Can I be your human friend? [winces] I mean, friend?
4;12;Cartman;I don't know, dude. I'm not supposed to have any male friends that are over 30. I kind of screwed on that once.
4;12;Bill;Please. We can have fun and play games, like human four square-- [coughs up] I mean, four square.
4;12;Cartman;"Dude, you can't just ask to be somebody's friend and be their friend; it doesn't work that way. If you want to be my friend, you'll have to pay me."
4;12;Bill;Oh, I see. Alright, I'll pay 100 geliga stones-- Uh, I mean, human dollars! Eugh, I mean dollars!
4;12;Cartman;Okay, that's cool.
4;12;Bill;[holds up the tetherball] Can we play some human tetherball?
4;12;Cartman;"A-alright. Pretty sweet, you guys, getting a hundred bucks to play tetherball with some-- [by this time, ""Bill"" has pulled away from the pole and Cartman, and has the tether taut and ready to release]"
4;12;Bill;"Serve! [whips the ball at Cartman, knocking him onto his back. The Trapper Keeper falls away and lands next to Kenny. ""Bill"" makes his move]"
4;12;Cartman;"Ugh..! [""Bill"" goes after the Trapper Keeper and runs away with it]"
4;12;Bill;Got it!
4;12;Cartman;Ey!
4;12;Stan;"Dude! He's running off with your Trapper Keeper! [just then, spikes come out of the Trapper Keeper and some of them go clear through ""Bill's"" hands.]"
4;12;Bill;[stops and looks at his pierced hands] Waa-agggh! [clenches his teeth and continues running]
4;12;Cartman;You son of a bitch! [recalls something] Wait a minute. [whips out a small gadget and activates it] Lucky for me, I have my Trapper Keeper homing device. [walks towards the source of the sound heard in the device and away from his friends]
4;12;Stan;[confused] What the hell just happened?
4;12;Kyle;[angry] Damn! I thought fourth grade was gonna be different.
4;12;;South Park Elementary, Kindergarten. Mr. Garrison tallies up the votes so far on the board...
4;12;Mr. Garrison;So that's six votes for Filmore and six votes for Ike. [sets the chalk down and reads the last ballot] And the last vote is for... Uh, let's see. Flora, I can't tell who you voted for. [Flora, a timid, pretty blond girl trying to bury her face into her laps, which are raised up on the chair, is shown] You've got the winning vote, Flora. Who d'you pick?
4;12;Flora;I don't know... [smiles and looks down and away]
4;12;Mr. Garrison;Flora, you have to pick one. Filmore or Ike?
4;12;Flora;Um, I vote for... I don't know.
4;12;Mr. Garrison;Oh, great! Flora's undecided! Well, you're just gonna have to sit there, Flora, and think about it until you come up with an answer.
4;12;Flora;Okay.
4;12;Boy #;Flora, just say you vote for Filmore so we can all go home.
4;12;Flora;Um...
4;12;Sally;No! You want Ike to be president.
4;12;Filmore;We're gonna be here all night! Why don't you guys just concede?
4;12;Two kids;Yeah!
4;12;Sally;Why don't you just concede?
4;12;Other kids;Yeah! [the kids start to argue]
4;12;Some Kids;Filmore!
4;12;Other Kids;Ike!
4;12;Girl;I want Ike to be president! [several kids from Filmore's side rush across the table to kids on Ike's side]
4;12;Mr. Garrison;Oh, for Christ's sakes, you're all acting like a bunch o' kids!
4;12;;South Park, day. A police car zooms down the street. Officer Barbrady flies down the road in the police cruiser with Cartman in the passenger seat and Stan, Kyle, and Kenny in the back seat. Cartman has the Trapper Tracker Keeper in his hand and is following the Trapper Keeper's signal on the Tracker's screen
4;12;Cartman;Turn left here! We're getting close! Get your gun ready!
4;12;Barbrady;Eric, I'm not gonna shoot anybody for taking your school folder.
4;12;Cartman;"[grabs Barbrady's ] It was not a school folder, it was a Dawson's Creek Trapper Keeper Futura S 2000! And if-- [spots ""Bill""] There he is!"
4;12;Bill;[turns to see the cruiser coming his way] Wagh!
4;12;Cartman;Got ya! [grabs the steering wheel from Barbrady]
4;12;Barbrady;"Hey! [Cartman steers the cruiser into a building, crushing ""Bill"" and rattling the building]"
4;12;Bill;Gaagghhh! [crumples to the floor. Barbrady and the others exit the car and gather at Bill. His left arm has been amputated, revealing functioning wires. The lower half holding the Trapper Keeper in hand. Barbrady and the boys stare in shock]
4;12;Kyle;Whoa, dude..!
4;12;;End of act one. Time: 7:50
4;12;;same time, later...
4;12;Cartman;Ahh, try to take my Trapper Keeper, will you?
4;12;Bill;Please. You do not understand.
4;12;Cartman;[takes his place] Book him, Barbrady. Another job well done.
4;12;Bill;[plaintive] That Trapper Keeper has to be destroyed!
4;12;Stan;Why are you so obsessed with Cartman's Trapper Keeper, Bill Cosby?
4;12;Barbrady;Bill Cosby?
4;12;Bill;Nooo! Listen to me! I am not really Bill Cosby. [the boys and Barbrady show shock] My name is BSM-471. I am a cyborg engineered by humans from the year 2034.
4;12;Barbrady;Well, I knew you weren't Bill Cosby!
4;12;BSM-471;I have come to destroy that Trapper Keeper, because it was the Dawson's Creek Trapper Keeper that belongs to an Eric Cartman in South Park which three years from now manifests itself into an omnipotent super being, and destroys all of humanity. In the year 2004, a hybrid-assimilating computer linked with a satellite uplink computer. From there it was able to slowly take over every computer in the world. [cables reach out from the Trapper Keeper and engulf two computers. The process continues engulfing all of the US] It became stronger and stronger, until by the year 2018 it broke away from mankind [skulls litter the landscape] and there was nothing the humans could do. [in the distance a Dawson's Creek Trapper Keeper tower rises] It wasn't long before Mighty Trapper Keeper started to destroy everything it saw as useless, including humans. [people are shot left and right from the Trapper Keeper's weapons] The nations tried everything to stop it. [troops line up and fire at the Trapper Keeper] Nuclear devices, seismic missiles. But nothing worked. [robotic tanks come into view, firing away at the Trapper Keeper] The humans built robots of their own, whole armies of them. [DC TK209s approach the advancing armies and fire at them] But nothing was strong enough to stop Trapper Keeper. [the battle scene fades, and BSM-471 is shown once again on the ground] And so finally, the humans decided to send one of their robots into the past to destroy the Trapper Keeper before it even got started.
4;12;Stan;Wow, that's amazing.
4;12;Kyle;Man, I guess sometimes we let our technology and stuff grow too fast.
4;12;Stan;What do you think, Officer Barbrady?
4;12;Barbrady;Huh? Oh, I'm sorry. I wasn't listening.
4;12;BSM-471;And so, Eric. Now you see why we must destroy your Trapper Keeper.
4;12;Cartman;[long pause] You guys. Did I mention that it has a pencil sharpener and a crayon sharpener?
4;12;Stan;Cartman, it takes over the world and destroy all of humanity!
4;12;Cartman;What would you guys have me do, huh?! Walk around with just a plain old Trapper Keeper like Kyle's?! Is that what you want?!
4;12;Stan;Yes!
4;12;Cartman;Aw, damnit! [throws his Trapper Keeper to the ground] Here! Take it! You want my heart as well?! You'll find it on the bottom of your shoes! [walks off to his left sadly]
4;12;;South Park Elementary, kindergarten. The class is looking at Flora. Mr. Garrison sits on a chair looking bored
4;12;Flora;I decided.
4;12;Mr. Garrison;[jumps up] Oh, thank God, Flora! [gets ready to write] Alright, who do you vote for?
4;12;Flora;Umm... Ike.
4;12;Supporters;Yay!
4;12;Mr. Garrison;[adds the tally to Ike's total] Okay, so then the total is six for Filmore and now seven votes for Ike. Ike is the new class president.
4;12;Filmore;We want a recount.
4;12;Mr. Garrison;[miffed] What?
4;12;Filmore's Supporters;Recount! Recount! Recount! Recount!
4;12;Mr. Garrison;Oh, of all the juvenile things I've ever heard! You lost, Filmore! Don't be such a baby! [Filmore cries and throws a tantrum, pounding away on the classroom table] Alright, alright, I'll count up the ballots again. Okay, we had one vote for Filmore... [writes Filmore's name on the board. A time lapse shows him writing on a crowded board now] ...And this time, I again get six votes for Filmore and seven votes for Ike.
4;12;Filmore;Count them again.
4;12;Supporters;Yeah!
4;12;Mr. Garrison;No, children! I've recounted 106 times now and I keep coming up with seven to six! Except in the one instance where it came out seven to five, and one where it came out twelve to fourteen. It's over! Ike is class president!
4;12;Kid #2;Wait, there's still that absent kid.
4;12;Fillmore;Yeah. If Carlos is absent, we have to wait for his vote.
4;12;Mr. Garrison;Oh, will you grow up?!
4;12;Supporters;[clamoring] Absent kids count! Absent kids count! Absent kids count!
4;12;Mr. Garrison;Jesus..! Alright, we'll wait for tomorrow so the absent kid can cast his vote. Now go home! [the kids leave]
4;12;;South Park Elementary, hallway, next day.
4;12;BSM-471;Good morning, humans.
4;12;Stan/Kyle;Hey, Bill Cosby.
4;12;BSM-471;I have successfully destroyed Eric Cartman's Trapper Keeper. I broke it apart, dipped the motherboards in acid, burned the memory chips, and sent the wiring to the four corners of Canada.
4;12;Kyle;That should do it.
4;12;Stan;So what are you going to do with your crappy robot life now, Bill Cosby?
4;12;BSM-471;Well, that is a problem that is causing me some disconcernment. I am still here, but I shouldn't be here. If Trapper Keeper has been stopped, then I should not exist. But here I am. Something is still not right.
4;12;Cartman;[walks up with another Trapper Keeper] Hey, dudes.
4;12;Stan;Cartman! You still got a Trapper Keeper!
4;12;Cartman;Yeah, I'm a genius! Last night I went home and told my mom that I lost the last one. Then I cried and I cried, and finally she felt so bad that she took me to the store and bought me a new one! [holds it up high] So everything worked out.
4;12;BSM-471;[frightened] Oh no!
4;12;Kyle;Cartman, you dumbass! You can't get a new one!
4;12;Cartman;Why the hell not?!
4;12;Stan;Because if your Trapper Keeper takes over the world, then maybe it was this Trapper Keeper and not the one before!
4;12;Cartman;Wait... so then you guys burned my last one for no reason!
4;12;BSM-471;We will have to destroy this Trapper Keeper.
4;12;Cartman;[holds his Trapper Keeper close] But I don't think I can get my mom to buy me another one.
4;12;Kyle;Don't you get it?! You can't have any Trapper Keepers, fat ass!
4;12;Cartman;Oh, that is bullcrap! And you know what I think? I think this whole thing is a setup! That's right! Kyle got this guy to say that he's a robot from the future just because he's jealous of my Trapper Keeper! And you know what else? Screw you guys. I'm going home. [moves off to his left]
4;12;Stan;Cartman!
4;12;Cartman;Ech! Screw you guys. Home. [walks away]
4;12;BSM-471;Well, that does it! [pull out a pocket phaser from his overcoat and aims it at Cartman]
4;12;Kyle;Hey! What are you doing?
4;12;BSM-471;I'm afraid I have no other choice. [pulls the phaser back] For the sake of humanity, I have to kill him.
4;12;Kyle;Oh... Okay.
4;12;Stan;"Yeah, that's fine. [""Bill"" aims the phaser once again] No, wait!"
4;12;BSM-471;What?
4;12;Stan;Can I do it?
4;12;BSM-471;Oh, well, I suppose. [tosses the phaser to Stan]
4;12;Stan;[takes it and quickly aims] Sweet! Kiss your ass goodbye, fat boy!
4;12;BSM-471;Wait! [grabs it back] Perhaps there is another way. If you could take me to where Eric Cartman lives, I could try reasoning with his human mother.
4;12;Stan;Well, yeah, or we could just kill him.
4;12;Kyle;Yeah, that'd be faster.
4;12;Stan;He's right there.
4;12;BSM-471;"I'm afraid I can't. I think I'm actually starting to feel what you humons call ""compassion"". It is an amazing feeling!"
4;12;Stan/Kyle/ Kenny;Awww..!
4;12;;South Park Elementary, kindergarten. Mr. Garrison stands before the class and begins to speak
4;12;Mr. Garrison;Alright children, as you know, we've been waiting for the absent kid's ballot to come in. Well, his mother was nice enough to bring him in from the hospital so that he could cast his vote. Ms. Harris? [she walks in with a little boy attached to IV bag on a pole. The kid hands him the ballot and coughs out an organ] Thank you very much, Billy. Don't forget to pick up your lung. [Billy starts to walk away, then stops to pick it up] Alright, the absent kid's ballot is for... [reads] Filmore.
4;12;Supporters;Yay./Hooray. [Mr. Garrison adds Billy's vote to Filmore's tally]
4;12;Sally;Wait one minute!
4;12;Mr. Garrison;Oh, Jesus tap-dancing Christ.
4;12;Sally;I think the ballot were misleading. Some kids didn't understand whom they were voting for.
4;12;Mr. Garrison;There's a box next to Filmore's name and a box next to Ike's! What's not to understand?
4;12;Filmore;[pointing at Sally] You're just saying that, 'cause you know you're gonna lose now.
4;12;Sally;No, I'm saying that because you are a boogerface!
4;12;Filmore;Well, just you wait, 'cause my famous aunt is on huh way right now.
4;12;Mr. Garrison;Who's your famous aunt?
4;12;Filmore;My aunt Rosie, Rosie O'Donnell.
4;12;Mr. Garrison;Your aunt Rosie O'Donnell is coming here?
4;12;Filmore;Yeah, she's very active in politics. So she's gonna set all this straight.
4;12;Mr. Garrison;[resigned] Oh no..!
4;12;;Cartman residence, day, Cartman's room. Cartman sets the Trapper Keeper in a tray, then secures it onto a docking bay and plugs a cable into it
4;12;Trapper Keeper;Recharging.
4;12;Cartman;Sweet. You're so cool, Trapper Keeper. I would never let those assholes take you away.[singing his own Dawson's Creek theme song] I don't wanna wait for my Trapper Keeper to be overThe ways of my Trap--
4;12;Trapper Keeper;Trapper Keeper ready to ensorb. [cables reach out and grab Cartman's computer like a giant hand, and pull it towards the Trapper Keeper]
4;12;Cartman;Oh, cool.
4;12;Trapper Keeper;Trapper Keeper, merging. [cables reach out and grab a lamp and a Wellington Bear desk clock]
4;12;Cartman;[softly] Whoa...
4;12;;End of act two. Time: 13:59
4;12;;"Cartman residence, day, dining room. ""Bill"" is seated at the head of the table, with Liane and Kenny to his right, and Stan and Kyle to his left"
4;12;BSM-471;And so you see, Ms. Cartman, you cannot buy your son Eric another Trapper Keeper. Not now! Not ever!
4;12;Liane;Right, because it will hybrid with all those other processors and generate a whole new era of technological darkness.
4;12;BSM-471;Correct.
4;12;Liane;Well, I certainly won't buy him anymore, then... Bill. [starts flirting with him]
4;12;BSM-471;Good. Now all that is left to do is destroy the Trapper Keeper Eric has now. Where is he?
4;12;Liane;"In his room. But, why don't I show you the rest of the house first? [pulls ""Bill"" from the chair]"
4;12;Stan;Uh-oh.
4;12;Kyle;Here we go again.
4;12;Liane;Come this way, Billy. [takes him away from the table]
4;12;Stan;Well, come on. Let's go upstairs and get Cartman's Trapper Keeper ourselves. [he and Kenny leave the table, with Kyle following]
4;12;;Cartman's room. Cartman is getting friendly with his Trapper Keeper
4;12;Cartman;Kyle is just jealous of you, Trapper Keeper. You kick ass!I don't wanna let my Trapper Keeper get--
4;12;Stan;[knocks on the door] Open up, Cartman! We're taking your Trapper Keeper! [Cartman hops off his chair and dances to the door. He locks it and continues singing]
4;12;Cartman;Screw you guys, screw you guysScrew you guys, scr--
4;12;Trapper Keeper;Trapper Keeper, ready to ensorb.
4;12;Cartman;Huh? [walks towards his computer]
4;12;Kyle;[in the hallway, pounds on the door] Dammit, Cartman, open up!
4;12;Trapper Keeper;Trapper Keeper, ready for hybrid.
4;12;Cartman;Oh, sweet. What's it gonna hybrid with now? [cables come from the monitor and grab him] Ugh--!
4;12;Stan;[pounds on the door] Cartman, you might as well open up! We're just gonna have Bill Cosby bust the door down after he finishes having sex with your mom. [he and Kyle now notice the groans coming from the room]
4;12;Kyle;Cartman? [inside, cables wrap tight around his face and go in, transforming his body into a grotesque hybrid, and the hybrid begins to grow] He's not gonna open it. Break it down.
4;12;Stan;You break it down!
4;12;Kyle;Okay. Ready? One, two, three, not it!
4;12;Stan;Not it! You lose, Kenny. [he and Kyle quickly step out of the way]
4;12;Kenny;(Awww..!) [goes to the far wall and then rushes the door, only to be plastered against the far wall...] (Argh--!) [...by the unhinged bedroom door being pushed out by the evolving Trapper Keeper. The boys are frozen in place with mouths open]
4;12;Stan;Oh my God, they've killed Kenny!
4;12;Kyle;You ba--! [the boys make a run for it down the hall and down the stairs as the Trapper Keeper oozes out of Cartman's room]
4;12;;Cartman residence, outside. The front door opens and Stan and Kyle rush outside and away
4;12;Stan/Kyle;"Agggghhh! [the Trapper Keeper bursts through every window in the house and then the house begins to crumble around it. It collapses in on itself. moves away from the house, leaving ""Bill"" and Liane in bed fully exposed to the elements]"
4;12;Liane;[on top] Oh, yeah. Oh, yeah!
4;12;;South Park Elementary, kindergarten. Mr. Garrison sits with the class around the table and hears some ominous noise
4;12;Mr. Garrison;What the hell is that? [walks to the window and looks out] Oh my God! What is that thing? Children, there's some huge bulbous monstrosity heading for the classroom! [some of the kids slink down in their seats] Oh my God, it's awful! It's coming for the door. [the doorknob turns and the kindergartners crouch in terror]
4;12;Rosie O'Donnell;Hello, kids!
4;12;Filmore;Aunt Rosie!
4;12;Mr. Garrison;[in a panic] Run for your lives, children! [grabs a bat] I'll try to fight it off!
4;12;Filmore;That's my aunt, Rosie O'Donnell.
4;12;Mr. Garrison;Oh. Oh, um... Pleasure to meet you, Miss Donnell. You're looking... well.
4;12;Rosie O'Donnell;Don't worry, kids. Everything's gonna be fine. What's the problem?
4;12;Filmore;Aunt Rosie. We think I won class president.
4;12;Ike Supporter;No, Ike won.
4;12;Mr. Garrison;Look, it's very simple. We took a vote and the vote tied, so now we gotta come up with a way--
4;12;Rosie O'Donnell;Well it obviously isn't that simple, is it? I mean, you'd think a little kindergarten teacher could've handled this, but now we're gonna do it my way!
4;12;;South Park, outskirts. The Trapper Keeper enters the scene and demolishes the sign
4;12;Trapper Keeper;[now with Cartman's voice] We are Trapper Keeper.
4;12;BSM-471;[on a bluff with Stan and Kyle looking at the Trapper Keeper leave town] Oh no! It is heading for Cheyenne Mountain!
4;12;Kyle;Why is that bad?
4;12;BSM-471;It was when the Trapper Keeper assimilated with the supercomputer at Cheyenne Mountain that it was able to fuse into all defensive computers!
4;12;Stan;"Then we have to stop it before it gets there! [leads the others off the bluff and onto a waiting cruiser. ""Bill"" takes the wheel and Kyle takes the passenger window seat]"
4;12;Kyle;"Step on it, Bill Cosby! [""Bill"" starts the cruiser and drives off]"
4;12;;The road to Cheyenne Mountain. All is quiet. Two security guards wait at the entrance reading newspapers. The one wearing glasses looks up
4;12;Guard 2;Hey, Mark, look.
4;12;Mark;"Wow. That is about the nicest Trapper Keeper I've ever seen. [a police siren is heard, and promptly ""Bill"" arrives with Stan and Kyle. They hop out of the car and face the Trapper Keeper]"
4;12;Stan;Cartman, you have to stop!
4;12;Trapper Keeper;We are Trapper Keeper. We are one.
4;12;BSM-471;A part of your friend must still be alive in there. [the three of them study the Trapper Keeper from a distance until Stan finds a ventilation hose coming out of it. Smoke comes out of it, and a fart is heard]
4;12;Stan;He is in there.
4;12;BSM-471;That must be what Trapper Keeper is using for ventilation. If one of you could get in there, you could reach the CPU.
4;12;Stan;One-two-three, not it!
4;12;Kyle;Not-- Aw, damnit..! [walks up to the hissing hose and climbs in]
4;12;;Interior. Kyle makes his way in and scrambles through a field of organs until he reaches the memory core. The valves open up and suck Kyle into the core. Kyle floats through the core, à la 2001: A Space Odyssey'
4;12;Cartman;[à la HAL 9000] What are you doing, Kyle?
4;12;Kyle;I'm going to try and break you away from the computer, Cartman. I need to remove the CPU.
4;12;Cartman;I'm afraid I can't let you do that, Kyle.
4;12;Kyle;Screw you, fat ass!
4;12;Cartman;Hey, screw you.
4;12;Kyle;Cartman! [hits a wall with a wrench]
4;12;Cartman;Agh--! [four metallic arms from all directions reach out to trap him, then six more organic ones come in to secure him]
4;12;Kyle;No!
4;12;;South Park Elementary, kindergarten. The kids run around arguing with each other and carry signs
4;12;Rosie O'Donnell;[sits on a chair with Filmore on her lap] Okay, so then what we're going to do is count everybody's vote by hand, and after that, we're gonna go over the votes again manually, and then--
4;12;Mr. Garrison;[throws a fit] Oh, stop it, stop it! Stop i-i-it! [the kids and Rosie look at him] Look kids, we're all in this kindergarten class together. We have to respect one another or else we're in for a terrible school year. [the kindergarteners looks at each other]
4;12;Rosie O'Donnell;[furiously] We're just making sure that the kids that voted for my nephew don't get cheated!
4;12;Mr. Garrison;Half the kids in the class didn't vote for your nephew, so what about them? You don't give a crap about them because they're not on your side! People like you preach tolerance and open-mindedness all the time, but when it comes to Middle America, you think we're all evil and stupid country yokels who need your political enlightenment! [Rosie goes offended upon hearing this] Well, just because you're on TV doesn't mean you know crap about the government! Now get your ass back on first class and respect this class's right to make up their own minds! [the kindergarteners gasp] ...Oh, sorry I got a little off the subject there, kids.
4;12;Rosie O'Donnell;[stands up throwing Filmore off] How dare you! I will not be preached at by a country bumpkin! [heads for the door and stands at the entrance] I'm leaving this Podunk town, but in my place I'm gonna send more lawyers, statesmen and press than you have ever seen! [exits and slams the door shut]
4;12;Mr. Garrison;Oh no, children, I think I've just made this a whole lot worse.
4;12;;End of act three. Time: 18:58
4;12;;South Park, a red sunset. A picture of the four main characters of Dawson's Creek is present. Camera zooms out, revealing Trapper Keeper covering Cheyenne Mountain. A slimy appendage reaches out and grabs a phone both next to two ladies
4;12;Ladies;Aaghh! [hurry away. The Trapper Keeper absorbs the phone booth, and another of its appendages goes after a police car]
4;12;Cops;"Wagghh! [hurry away. In the distance ""Bill,"" the two security guards, and Stan watch Trapper Keeper get bigger and bigger. Behind them, the rest of South Park gathers and sees the spectacle]"
4;12;Mark;Well that does it. I'm gonna have to report this. [whips out a walkie-talkie and starts] Car one to base-- [another appendage reaches down and pulls him up and away] Aghh! [Trapper Keeper swallows him up]
4;12;BSM-471;It is infusing with everything. It is already too powerful to stop!
4;12;Stan;Kyle's got to succeed. He's just got to.
4;12;;Interior. Kyle struggles to make his way out of the little situation he's in
4;12;Kyle;I can't reach the CPU.
4;12;;"Cheyenne Mountain, outside. A limo speeds up to the scene and encounters the Trapper Keeper, which is beginning to look like the tower in ""Bill""'s prophecy. Rosie O'Donnell pops out and walks up to it"
4;12;Rosie;What are you doin'?! Get out of my way!
